,PrimaryKey,Species,ScientificName,percent
522,16101809032167262016-09-01,ARTR2,Artemisia tridentata,12
523,16071510271763022016-09-01,ARTR2,Artemisia tridentata,2.666666667
524,16071510271763022016-09-01,ARTR2,Artemisia tridentata,2.666666667
531,16101311113592082016-09-01,ARTR2,Artemisia tridentata,8
532,16101311113592082016-09-01,ARTR2,Artemisia tridentata,8
535,16081412561760622016-09-01,ARTR2,Artemisia tridentata,0.6666666667
536,16081412561760622016-09-01,ARTR2,Artemisia tridentata,0.6666666667
541,16100315013227472016-09-01,ARTR2,Artemisia tridentata,9.333333333
542,16100315013227472016-09-01,ARTR2,Artemisia tridentata,9.333333333
543,16100411113013482016-09-01,ARTR2,Artemisia tridentata,8
544,16100411113013482016-09-01,ARTR2,Artemisia tridentata,8
545,16100415155137832016-09-01,ARTR2,Artemisia tridentata,9.333333333
546,16100415155137832016-09-01,ARTR2,Artemisia tridentata,9.333333333
555,1610111126183482016-09-01,ARTR2,Artemisia tridentata,2.666666667
556,1610111126183482016-09-01,ARTR2,Artemisia tridentata,2.666666667
801,17062713313165112017-09-01,ARTR2,Artemisia tridentata,12.66666667
802,17062713313165112017-09-01,ARTR2,Artemisia tridentata,12.66666667
807,17070511465421772017-09-01,ARTR2,Artemisia tridentata,8
808,17070511465421772017-09-01,ARTR2,Artemisia tridentata,8
811,17071212443313672017-09-01,ARTR2,Artemisia tridentata,16.66666667
812,17071212443313672017-09-01,ARTR2,Artemisia tridentata,16.66666667
813,1707131227147332017-09-01,ARTR2,Artemisia tridentata,0.6666666667
814,1707131227147332017-09-01,ARTR2,Artemisia tridentata,0.6666666667
819,17071913455760762017-09-01,ARTR2,Artemisia tridentata,3.333333333
820,17071913455760762017-09-01,ARTR2,Artemisia tridentata,3.333333333
821,17072010382249432017-09-01,ARTR2,Artemisia tridentata,5.333333333
822,17072010382249432017-09-01,ARTR2,Artemisia tridentata,5.333333333
823,1707261144596932017-09-01,ARTR2,Artemisia tridentata,1.333333333
824,1707261144596932017-09-01,ARTR2,Artemisia tridentata,1.333333333
825,17073112530949902017-09-01,ARTR2,Artemisia tridentata,0.6666666667
826,17073112530949902017-09-01,ARTR2,Artemisia tridentata,0.6666666667
831,17081810275987652017-09-01,ARTR2,Artemisia tridentata,8
832,17081810275987652017-09-01,ARTR2,Artemisia tridentata,8
833,17082108325123062017-09-01,ARTR2,Artemisia tridentata,24
834,17082108325123062017-09-01,ARTR2,Artemisia tridentata,24
851,170906103007992017-09-01,ARTR2,Artemisia tridentata,13.33333333
852,170906103007992017-09-01,ARTR2,Artemisia tridentata,13.33333333
863,17092011255450832017-09-01,ARTR2,Artemisia tridentata,6.666666667
864,17092011255450832017-09-01,ARTR2,Artemisia tridentata,6.666666667
865,17092108260840322017-09-01,ARTR2,Artemisia tridentata,21.33333333
866,17092108260840322017-09-01,ARTR2,Artemisia tridentata,21.33333333
867,17092108264265392017-09-01,ARTR2,Artemisia tridentata,4
868,17092108264265392017-09-01,ARTR2,Artemisia tridentata,4
869,17092709155926852017-09-01,ARTR2,Artemisia tridentata,0.6666666667
870,17092709155926852017-09-01,ARTR2,Artemisia tridentata,0.6666666667
871,1710301519454312017-09-01,ARTR2,Artemisia tridentata,18
872,1710301519454312017-09-01,ARTR2,Artemisia tridentata,18
879,17100312091824962017-09-01,ARTR2,Artemisia tridentata,4
880,17100312091824962017-09-01,ARTR2,Artemisia tridentata,4
883,17101012114127892017-09-01,ARTR2,Artemisia tridentata,2.666666667
884,17101012114127892017-09-01,ARTR2,Artemisia tridentata,2.666666667
885,17101109402046872017-09-01,ARTR2,Artemisia tridentata,0.6666666667
886,17101109402046872017-09-01,ARTR2,Artemisia tridentata,0.6666666667
887,17101113453257752017-09-01,ARTR2,Artemisia tridentata,4
888,17101113453257752017-09-01,ARTR2,Artemisia tridentata,4
889,17101310340653282017-09-01,ARTR2,Artemisia tridentata,0.6666666667
890,17101310340653282017-09-01,ARTR2,Artemisia tridentata,0.6666666667
901,17103011441717632017-09-01,ARTR2,Artemisia tridentata,1.333333333
902,17103011441717632017-09-01,ARTR2,Artemisia tridentata,1.333333333
903,17103013300986522017-09-01,ARTR2,Artemisia tridentata,7.333333333
904,17103013300986522017-09-01,ARTR2,Artemisia tridentata,7.333333333
909,17110208361911962017-09-01,ARTR2,Artemisia tridentata,2
910,17110208361911962017-09-01,ARTR2,Artemisia tridentata,2
911,17103015174794332017-09-01,ARTR2,Artemisia tridentata,6
912,17103015174794332017-09-01,ARTR2,Artemisia tridentata,6
923,17082210121290242017-09-01,ARTR2,Artemisia tridentata,2.666666667
924,17082210121290242017-09-01,ARTR2,Artemisia tridentata,2.666666667
925,17082309190239722017-09-01,ARTR2,Artemisia tridentata,10.66666667
926,17082309190239722017-09-01,ARTR2,Artemisia tridentata,10.66666667
927,1708231506432822017-09-01,ARTR2,Artemisia tridentata,6.666666667
928,1708231506432822017-09-01,ARTR2,Artemisia tridentata,6.666666667
937,1709021528062062017-09-01,ARTR2,Artemisia tridentata,15.33333333
938,1709021528062062017-09-01,ARTR2,Artemisia tridentata,15.33333333
939,17090309431334142017-09-01,ARTR2,Artemisia tridentata,20
940,17090309431334142017-09-01,ARTR2,Artemisia tridentata,20
957,17062712310865262017-09-01,ARTR2,Artemisia tridentata,10.66666667
958,17062712310865262017-09-01,ARTR2,Artemisia tridentata,10.66666667
959,17062808164535172017-09-01,ARTR2,Artemisia tridentata,0.6666666667
960,17062808164535172017-09-01,ARTR2,Artemisia tridentata,0.6666666667
961,17070509064965912017-09-01,ARTR2,Artemisia tridentata,27.33333333
962,17070509064965912017-09-01,ARTR2,Artemisia tridentata,27.33333333
963,17070913481372017-09-01,ARTR2,Artemisia tridentata,23.33333333
964,17070913481372017-09-01,ARTR2,Artemisia tridentata,23.33333333
965,17070915162747992017-09-01,ARTR2,Artemisia tridentata,29.33333333
966,17070915162747992017-09-01,ARTR2,Artemisia tridentata,29.33333333
967,17071714324152072017-09-01,ARTR2,Artemisia tridentata,16.66666667
968,17071714324152072017-09-01,ARTR2,Artemisia tridentata,16.66666667
971,17071813025057332017-09-01,ARTR2,Artemisia tridentata,11.33333333
972,17071813025057332017-09-01,ARTR2,Artemisia tridentata,11.33333333
973,17071011421315072017-09-01,ARTR2,Artemisia tridentata,12.66666667
974,17071011421315072017-09-01,ARTR2,Artemisia tridentata,12.66666667
985,17072811430761332017-09-01,ARTR2,Artemisia tridentata,24.66666667
986,17072811430761332017-09-01,ARTR2,Artemisia tridentata,24.66666667
991,17080910103112202017-09-01,ARTR2,Artemisia tridentata,20
992,17080910103112202017-09-01,ARTR2,Artemisia tridentata,20
993,17091413594923142017-09-01,ARTR2,Artemisia tridentata,23.33333333
994,17091413594923142017-09-01,ARTR2,Artemisia tridentata,23.33333333
1003,17092009282939092017-09-01,ARTR2,Artemisia tridentata,0.6666666667
1004,17092009282939092017-09-01,ARTR2,Artemisia tridentata,0.6666666667
1011,17092811021667362017-09-01,ARTR2,Artemisia tridentata,8.666666667
1012,17092811021667362017-09-01,ARTR2,Artemisia tridentata,8.666666667
1025,18091010291491292018-09-01,ARTR2,Artemisia tridentata,20.66666667
1026,18091010291491292018-09-01,ARTR2,Artemisia tridentata,20.66666667
1029,18091113334856172018-09-01,ARTR2,Artemisia tridentata,12.66666667
1030,18091113334856172018-09-01,ARTR2,Artemisia tridentata,12.66666667
1045,18060713281113732018-09-01,ARTR2,Artemisia tridentata,14
1046,18060713281113732018-09-01,ARTR2,Artemisia tridentata,14
1053,18062815112217432018-09-01,ARTR2,Artemisia tridentata,22
1054,18062815112217432018-09-01,ARTR2,Artemisia tridentata,22
1069,18080215204592992018-09-01,ARTR2,Artemisia tridentata,24
1070,18080215204592992018-09-01,ARTR2,Artemisia tridentata,24
1093,18100407485041802018-09-01,ARTR2,Artemisia tridentata,11.33333333
1094,18100407485041802018-09-01,ARTR2,Artemisia tridentata,11.33333333
1095,18100409520156482018-09-01,ARTR2,Artemisia tridentata,14
1096,18100409520156482018-09-01,ARTR2,Artemisia tridentata,14
1097,18100909095538102018-09-01,ARTR2,Artemisia tridentata,5.333333333
1098,18100909095538102018-09-01,ARTR2,Artemisia tridentata,5.333333333
1099,18100914331784842018-09-01,ARTR2,Artemisia tridentata,6.666666667
1100,18100914331784842018-09-01,ARTR2,Artemisia tridentata,6.666666667
1103,18101013135117722018-09-01,ARTR2,Artemisia tridentata,4.666666667
1104,18101013135117722018-09-01,ARTR2,Artemisia tridentata,4.666666667
1107,18101013161736412018-09-01,ARTR2,Artemisia tridentata,2
1108,18101013161736412018-09-01,ARTR2,Artemisia tridentata,2
1113,18101108232193122018-09-01,ARTR2,Artemisia tridentata,17.33333333
1114,18101108232193122018-09-01,ARTR2,Artemisia tridentata,17.33333333
1115,18101108411317852018-09-01,ARTR2,Artemisia tridentata,0.6666666667
1116,18101108411317852018-09-01,ARTR2,Artemisia tridentata,0.6666666667
1121,18101109484841432018-09-01,ARTR2,Artemisia tridentata,4
1122,18101109484841432018-09-01,ARTR2,Artemisia tridentata,4
1131,18101516431052872018-09-01,ARTR2,Artemisia tridentata,3.333333333
1132,18101516431052872018-09-01,ARTR2,Artemisia tridentata,3.333333333
1133,1810171345566192018-09-01,ARTR2,Artemisia tridentata,20
1134,1810171345566192018-09-01,ARTR2,Artemisia tridentata,20
1145,18070508582961822018-09-01,ARTR2,Artemisia tridentata,42
1146,18070508582961822018-09-01,ARTR2,Artemisia tridentata,42
1147,18071208530663702018-09-01,ARTR2,Artemisia tridentata,26
1148,18071208530663702018-09-01,ARTR2,Artemisia tridentata,26
1151,18071212365681142018-09-01,ARTR2,Artemisia tridentata,12
1152,18071212365681142018-09-01,ARTR2,Artemisia tridentata,12
1157,18071913050993552018-09-01,ARTR2,Artemisia tridentata,19.33333333
1158,18071913050993552018-09-01,ARTR2,Artemisia tridentata,19.33333333
1163,18080510394220072018-09-01,ARTR2,Artemisia tridentata,16.66666667
1164,18080510394220072018-09-01,ARTR2,Artemisia tridentata,16.66666667
1165,18080512512118632018-09-01,ARTR2,Artemisia tridentata,4.666666667
1166,18080512512118632018-09-01,ARTR2,Artemisia tridentata,4.666666667
1167,18080514480440072018-09-01,ARTR2,Artemisia tridentata,30.66666667
1168,18080514480440072018-09-01,ARTR2,Artemisia tridentata,30.66666667
1175,18062108312837382018-09-01,ARTR2,Artemisia tridentata,1.333333333
1176,18062108312837382018-09-01,ARTR2,Artemisia tridentata,1.333333333
1183,18071213171618542018-09-01,ARTR2,Artemisia tridentata,1.333333333
1184,18071213171618542018-09-01,ARTR2,Artemisia tridentata,1.333333333
1187,18071912124214552018-09-01,ARTR2,Artemisia tridentata,0.6666666667
1188,18071912124214552018-09-01,ARTR2,Artemisia tridentata,0.6666666667
1193,18061408452167622018-09-01,ARTR2,Artemisia tridentata,24.66666667
1194,18061408452167622018-09-01,ARTR2,Artemisia tridentata,24.66666667
1199,18081814154945012018-09-01,ARTR2,Artemisia tridentata,12
1200,18081814154945012018-09-01,ARTR2,Artemisia tridentata,12
1209,18080410314180252018-09-01,ARTR2,Artemisia tridentata,8.666666667
1210,18080410314180252018-09-01,ARTR2,Artemisia tridentata,8.666666667
1211,1808041332389862018-09-01,ARTR2,Artemisia tridentata,18.66666667
1212,1808041332389862018-09-01,ARTR2,Artemisia tridentata,18.66666667
1213,18080607175792632018-09-01,ARTR2,Artemisia tridentata,16.66666667
1214,18080607175792632018-09-01,ARTR2,Artemisia tridentata,16.66666667
1217,18080613480142082018-09-01,ARTR2,Artemisia tridentata,10.66666667
1218,18080613480142082018-09-01,ARTR2,Artemisia tridentata,10.66666667
1219,18080508430046632018-09-01,ARTR2,Artemisia tridentata,6
1220,18080508430046632018-09-01,ARTR2,Artemisia tridentata,6
1221,18080511551982992018-09-01,ARTR2,Artemisia tridentata,4.666666667
1222,18080511551982992018-09-01,ARTR2,Artemisia tridentata,4.666666667
1227,18080516414896582018-09-01,ARTR2,Artemisia tridentata,2.666666667
1228,18080516414896582018-09-01,ARTR2,Artemisia tridentata,2.666666667
1229,18080610221599152018-09-01,ARTR2,Artemisia tridentata,4
1230,18080610221599152018-09-01,ARTR2,Artemisia tridentata,4
1231,18100114411471642018-09-01,ARTR2,Artemisia tridentata,1.333333333
1232,18100114411471642018-09-01,ARTR2,Artemisia tridentata,1.333333333
1233,18092113475272922018-09-01,ARTR2,Artemisia tridentata,9.333333333
1234,18092113475272922018-09-01,ARTR2,Artemisia tridentata,9.333333333
1235,18092113525731502018-09-01,ARTR2,Artemisia tridentata,20
1236,18092113525731502018-09-01,ARTR2,Artemisia tridentata,20
1237,18092008281210402018-09-01,ARTR2,Artemisia tridentata,10
1238,18092008281210402018-09-01,ARTR2,Artemisia tridentata,10
1239,18092008195453402018-09-01,ARTR2,Artemisia tridentata,2.666666667
1240,18092008195453402018-09-01,ARTR2,Artemisia tridentata,2.666666667
1241,18092113545083752018-09-01,ARTR2,Artemisia tridentata,22
1242,18092113545083752018-09-01,ARTR2,Artemisia tridentata,22
1243,18092113533378502018-09-01,ARTR2,Artemisia tridentata,26
1244,18092113533378502018-09-01,ARTR2,Artemisia tridentata,26
1245,18092113433891112018-09-01,ARTR2,Artemisia tridentata,16
1246,18092113433891112018-09-01,ARTR2,Artemisia tridentata,16
1247,18081808334326992018-09-01,ARTR2,Artemisia tridentata,8
1248,18081808334326992018-09-01,ARTR2,Artemisia tridentata,8
1255,1808281337016232018-09-01,ARTR2,Artemisia tridentata,34.66666667
1256,1808281337016232018-09-01,ARTR2,Artemisia tridentata,34.66666667
1263,18092113473283092018-09-01,ARTR2,Artemisia tridentata,12.66666667
1264,18092113473283092018-09-01,ARTR2,Artemisia tridentata,12.66666667
1265,18092113500028472018-09-01,ARTR2,Artemisia tridentata,46.66666667
1266,18092113500028472018-09-01,ARTR2,Artemisia tridentata,46.66666667
1267,18092113464295362018-09-01,ARTR2,Artemisia tridentata,30
1268,18092113464295362018-09-01,ARTR2,Artemisia tridentata,30
1269,18092113462555692018-09-01,ARTR2,Artemisia tridentata,23.33333333
1270,18092113462555692018-09-01,ARTR2,Artemisia tridentata,23.33333333
1271,18092113512272962018-09-01,ARTR2,Artemisia tridentata,8
1272,18092113512272962018-09-01,ARTR2,Artemisia tridentata,8
1273,18092113521667442018-09-01,ARTR2,Artemisia tridentata,14.66666667
1274,18092113521667442018-09-01,ARTR2,Artemisia tridentata,14.66666667
1275,18100110104573452018-09-01,ARTR2,Artemisia tridentata,24.66666667
1276,18100110104573452018-09-01,ARTR2,Artemisia tridentata,24.66666667
1277,18092113451185312018-09-01,ARTR2,Artemisia tridentata,17.33333333
1278,18092113451185312018-09-01,ARTR2,Artemisia tridentata,17.33333333
1279,18092113470127642018-09-01,ARTR2,Artemisia tridentata,14
1280,18092113470127642018-09-01,ARTR2,Artemisia tridentata,14
1281,1809211349192882018-09-01,ARTR2,Artemisia tridentata,18.66666667
1282,1809211349192882018-09-01,ARTR2,Artemisia tridentata,18.66666667
1283,18092113443543742018-09-01,ARTR2,Artemisia tridentata,27.33333333
1284,18092113443543742018-09-01,ARTR2,Artemisia tridentata,27.33333333
1365,20163531202507B1,ARTR2,Artemisia tridentata,29.41176471
1366,20163531202507B1,ARTR2,Artemisia tridentata,29.41176471
1367,20163539202604B1,ARTR2,Artemisia tridentata,4.901960784
1368,20163539202604B1,ARTR2,Artemisia tridentata,4.901960784
1445,20163543202203B2,ARTR2,Artemisia tridentata,4.901960784
1446,20163543202203B2,ARTR2,Artemisia tridentata,4.901960784
1447,20163539202211B2,ARTR2,Artemisia tridentata,2.941176471
1448,20163539202211B2,ARTR2,Artemisia tridentata,2.941176471
1449,20163545202412B2,ARTR2,Artemisia tridentata,0.9803921569
1450,20163545202412B2,ARTR2,Artemisia tridentata,0.9803921569
1455,20163531202507B2,ARTR2,Artemisia tridentata,11.76470588
1456,20163531202507B2,ARTR2,Artemisia tridentata,11.76470588
1457,20163539202604B2,ARTR2,Artemisia tridentata,9.803921569
1458,20163539202604B2,ARTR2,Artemisia tridentata,9.803921569
1465,20163545202602B3,ARTR2,Artemisia tridentata,0.9803921569
1466,20163545202602B3,ARTR2,Artemisia tridentata,0.9803921569
1527,20153545202419B1,ARTR2,Artemisia tridentata,30.39215686
1528,20153545202419B1,ARTR2,Artemisia tridentata,30.39215686
1531,20153545202417B1,ARTR2,Artemisia tridentata,9.803921569
1532,20153545202417B1,ARTR2,Artemisia tridentata,9.803921569
1599,20153545202417B2,ARTR2,Artemisia tridentata,1.960784314
1600,20153545202417B2,ARTR2,Artemisia tridentata,1.960784314
1601,20153545202419B2,ARTR2,Artemisia tridentata,12.74509804
1602,20153545202419B2,ARTR2,Artemisia tridentata,12.74509804
1605,20153545202608B2,ARTR2,Artemisia tridentata,0.9803921569
1606,20153545202608B2,ARTR2,Artemisia tridentata,0.9803921569
1607,20153539202620B2,ARTR2,Artemisia tridentata,5.882352941
